f0002 | 10 | lof | 30days | 15 | False | 0.4 | 0.2 | 0.001 | [[974, 979, 999, 1019, 1069], [808, 813, 833, 853, 903], [688, 693, 713, 733, 783]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.4 | 0.07 | 0.005 | [[1041, 1041, 1041, 1041, 1041], [866, 866, 866, 866, 866], [735, 735, 735, 735, 735]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.4 | 0.07 | 0.01 | [[1158, 1158, 1158, 1158, 1158], [978, 978, 978, 978, 978], [834, 834, 834, 834, 834]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.4 | 0.05 | 0.001 | [[915, 920, 940, 960, 1010], [750, 755, 775, 795, 845], [631, 636, 656, 676, 726]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.4 | 0.05 | 0.003 | [[965, 965, 965, 965, 965], [796, 796, 796, 796, 796], [670, 670, 670, 670, 670]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.4 | 0.05 | 0.005 | [[999, 999, 999, 999, 999], [825, 825, 825, 825, 825], [695, 695, 695, 695, 695]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.4 | 0.05 | 0.01 | [[1116, 1116, 1116, 1116, 1116], [937, 937, 937, 937, 937], [794, 794, 794, 794, 794]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.5 | 0.2 | 0.001 | [[697, 702, 722, 742, 792], [551, 556, 576, 596, 646], [451, 456, 476, 496, 546]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.5 | 0.2 | 0.003 | [[767, 767, 767, 767, 767], [615, 615, 615, 615, 615], [505, 505, 505, 505, 505]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.5 | 0.2 | 0.005 | [[818, 818, 818, 818, 818], [659, 659, 659, 659, 659], [544, 544, 544, 544, 544]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.5 | 0.2 | 0.01 | [[968, 968, 968, 968, 968], [801, 801, 801, 801, 801], [670, 670, 670, 670, 670]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.5 | 0.15 | 0.001 | [[697, 702, 722, 742, 792], [551, 556, 576, 596, 646], [451, 456, 476, 496, 546]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.5 | 0.15 | 0.003 | [[767, 767, 767, 767, 767], [615, 615, 615, 615, 615], [505, 505, 505, 505, 505]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.5 | 0.15 | 0.005 | [[818, 818, 818, 818, 818], [659, 659, 659, 659, 659], [544, 544, 544, 544, 544]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.5 | 0.15 | 0.01 | [[968, 968, 968, 968, 968], [801, 801, 801, 801, 801], [670, 670, 670, 670, 670]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.5 | 0.1 | 0.001 | [[696, 701, 721, 741, 791], [550, 555, 575, 595, 645], [450, 455, 475, 495, 545]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.5 | 0.1 | 0.003 | [[766, 766, 766, 766, 766], [614, 614, 614, 614, 614], [504, 504, 504, 504, 504]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.5 | 0.1 | 0.005 | [[817, 817, 817, 817, 817], [658, 658, 658, 658, 658], [543, 543, 543, 543, 543]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.5 | 0.1 | 0.01 | [[967, 967, 967, 967, 967], [800, 800, 800, 800, 800], [669, 669, 669, 669, 669]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.5 | 0.07 | 0.001 | [[693, 698, 718, 738, 788], [547, 552, 572, 592, 642], [447, 452, 472, 492, 542]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.5 | 0.07 | 0.003 | [[763, 763, 763, 763, 763], [611, 611, 611, 611, 611], [501, 501, 501, 501, 501]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.5 | 0.07 | 0.005 | [[814, 814, 814, 814, 814], [655, 655, 655, 655, 655], [540, 540, 540, 540, 540]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.5 | 0.07 | 0.01 | [[964, 964, 964, 964, 964], [797, 797, 797, 797, 797], [666, 666, 666, 666, 666]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.5 | 0.05 | 0.001 | [[681, 686, 706, 726, 776], [536, 541, 561, 581, 631], [436, 441, 461, 481, 531]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.5 | 0.05 | 0.003 | [[751, 751, 751, 751, 751], [600, 600, 600, 600, 600], [490, 490, 490, 490, 490]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.5 | 0.05 | 0.005 | [[802, 802, 802, 802, 802], [644, 644, 644, 644, 644], [529, 529, 529, 529, 529]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.5 | 0.05 | 0.01 | [[952, 952, 952, 952, 952], [786, 786, 786, 786, 786], [655, 655, 655, 655, 655]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.6 | 0.2 | 0.001 | [[523, 528, 548, 568, 618], [394, 399, 419, 439, 489], [305, 310, 330, 350, 400]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.6 | 0.2 | 0.003 | [[614, 614, 614, 614, 614], [475, 475, 475, 475, 475], [376, 376, 376, 376, 376]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.6 | 0.2 | 0.005 | [[683, 683, 683, 683, 683], [536, 536, 536, 536, 536], [430, 430, 430, 430, 430]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.6 | 0.2 | 0.01 | [[865, 865, 865, 865, 865], [707, 707, 707, 707, 707], [585, 585, 585, 585, 585]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.6 | 0.15 | 0.001 | [[523, 528, 548, 568, 618], [394, 399, 419, 439, 489], [305, 310, 330, 350, 400]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.6 | 0.15 | 0.003 | [[614, 614, 614, 614, 614], [475, 475, 475, 475, 475], [376, 376, 376, 376, 376]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.6 | 0.15 | 0.005 | [[683, 683, 683, 683, 683], [536, 536, 536, 536, 536], [430, 430, 430, 430, 430]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.6 | 0.15 | 0.01 | [[865, 865, 865, 865, 865], [707, 707, 707, 707, 707], [585, 585, 585, 585, 585]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.6 | 0.1 | 0.001 | [[523, 528, 548, 568, 618], [394, 399, 419, 439, 489], [305, 310, 330, 350, 400]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.6 | 0.1 | 0.003 | [[614, 614, 614, 614, 614], [475, 475, 475, 475, 475], [376, 376, 376, 376, 376]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.6 | 0.1 | 0.005 | [[683, 683, 683, 683, 683], [536, 536, 536, 536, 536], [430, 430, 430, 430, 430]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.6 | 0.1 | 0.01 | [[865, 865, 865, 865, 865], [707, 707, 707, 707, 707], [585, 585, 585, 585, 585]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.6 | 0.07 | 0.001 | [[522, 527, 547, 567, 617], [393, 398, 418, 438, 488], [304, 309, 329, 349, 399]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.6 | 0.07 | 0.003 | [[613, 613, 613, 613, 613], [474, 474, 474, 474, 474], [375, 375, 375, 375, 375]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.6 | 0.07 | 0.005 | [[682, 682, 682, 682, 682], [535, 535, 535, 535, 535], [429, 429, 429, 429, 429]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.6 | 0.07 | 0.01 | [[864, 864, 864, 864, 864], [706, 706, 706, 706, 706], [584, 584, 584, 584, 584]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.6 | 0.05 | 0.001 | [[517, 522, 542, 562, 612], [389, 394, 414, 434, 484], [300, 305, 325, 345, 395]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.6 | 0.05 | 0.003 | [[608, 608, 608, 608, 608], [470, 470, 470, 470, 470], [371, 371, 371, 371, 371]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.6 | 0.05 | 0.005 | [[677, 677, 677, 677, 677], [531, 531, 531, 531, 531], [425, 425, 425, 425, 425]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.6 | 0.05 | 0.01 | [[859, 859, 859, 859, 859], [702, 702, 702, 702, 702], [580, 580, 580, 580, 580]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.7 | 0.2 | 0.001 | [[377, 387, 427, 467, 567], [273, 283, 323, 363, 463], [211, 221, 261, 301, 401]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.7 | 0.2 | 0.003 | [[503, 508, 528, 548, 598], [379, 384, 404, 424, 474], [288, 288, 288, 288, 288]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.7 | 0.2 | 0.005 | [[589, 589, 589, 589, 589], [452, 452, 452, 452, 452], [356, 356, 356, 356, 356]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.7 | 0.2 | 0.01 | [[795, 795, 795, 795, 795], [645, 645, 645, 645, 645], [529, 529, 529, 529, 529]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.7 | 0.15 | 0.001 | [[377, 387, 427, 467, 567], [273, 283, 323, 363, 463], [211, 221, 261, 301, 401]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.7 | 0.15 | 0.003 | [[503, 508, 528, 548, 598], [379, 384, 404, 424, 474], [288, 288, 288, 288, 288]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.7 | 0.15 | 0.005 | [[589, 589, 589, 589, 589], [452, 452, 452, 452, 452], [356, 356, 356, 356, 356]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.7 | 0.15 | 0.01 | [[795, 795, 795, 795, 795], [645, 645, 645, 645, 645], [529, 529, 529, 529, 529]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.7 | 0.1 | 0.001 | [[377, 387, 427, 467, 567], [273, 283, 323, 363, 463], [211, 221, 261, 301, 401]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.7 | 0.1 | 0.003 | [[503, 508, 528, 548, 598], [379, 384, 404, 424, 474], [288, 288, 288, 288, 288]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.7 | 0.1 | 0.005 | [[589, 589, 589, 589, 589], [452, 452, 452, 452, 452], [356, 356, 356, 356, 356]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.7 | 0.1 | 0.01 | [[795, 795, 795, 795, 795], [645, 645, 645, 645, 645], [529, 529, 529, 529, 529]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.7 | 0.07 | 0.001 | [[377, 387, 427, 467, 567], [273, 283, 323, 363, 463], [211, 221, 261, 301, 401]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.7 | 0.07 | 0.003 | [[503, 508, 528, 548, 598], [379, 384, 404, 424, 474], [288, 288, 288, 288, 288]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.7 | 0.07 | 0.005 | [[589, 589, 589, 589, 589], [452, 452, 452, 452, 452], [356, 356, 356, 356, 356]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.7 | 0.07 | 0.01 | [[795, 795, 795, 795, 795], [645, 645, 645, 645, 645], [529, 529, 529, 529, 529]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.7 | 0.05 | 0.001 | [[377, 387, 427, 467, 567], [273, 283, 323, 363, 463], [211, 221, 261, 301, 401]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.7 | 0.05 | 0.003 | [[503, 508, 528, 548, 598], [379, 384, 404, 424, 474], [288, 288, 288, 288, 288]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.7 | 0.05 | 0.005 | [[589, 589, 589, 589, 589], [452, 452, 452, 452, 452], [356, 356, 356, 356, 356]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.7 | 0.05 | 0.01 | [[795, 795, 795, 795, 795], [645, 645, 645, 645, 645], [529, 529, 529, 529, 529]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.8 | 0.2 | 0.001 | [[278, 288, 328, 368, 468], [202, 212, 252, 292, 392], [156, 166, 206, 246, 346]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.8 | 0.2 | 0.003 | [[443, 448, 468, 488, 538], [336, 341, 361, 381, 431], [253, 253, 253, 253, 253]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.8 | 0.2 | 0.005 | [[545, 545, 545, 545, 545], [421, 421, 421, 421, 421], [332, 332, 332, 332, 332]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.8 | 0.2 | 0.01 | [[763, 763, 763, 763, 763], [624, 624, 624, 624, 624], [514, 514, 514, 514, 514]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.8 | 0.15 | 0.001 | [[278, 288, 328, 368, 468], [202, 212, 252, 292, 392], [156, 166, 206, 246, 346]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.8 | 0.15 | 0.003 | [[443, 448, 468, 488, 538], [336, 341, 361, 381, 431], [253, 253, 253, 253, 253]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.8 | 0.15 | 0.005 | [[545, 545, 545, 545, 545], [421, 421, 421, 421, 421], [332, 332, 332, 332, 332]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.8 | 0.15 | 0.01 | [[763, 763, 763, 763, 763], [624, 624, 624, 624, 624], [514, 514, 514, 514, 514]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.8 | 0.1 | 0.001 | [[278, 288, 328, 368, 468], [202, 212, 252, 292, 392], [156, 166, 206, 246, 346]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.8 | 0.1 | 0.003 | [[443, 448, 468, 488, 538], [336, 341, 361, 381, 431], [253, 253, 253, 253, 253]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.8 | 0.1 | 0.005 | [[545, 545, 545, 545, 545], [421, 421, 421, 421, 421], [332, 332, 332, 332, 332]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.8 | 0.1 | 0.01 | [[763, 763, 763, 763, 763], [624, 624, 624, 624, 624], [514, 514, 514, 514, 514]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.8 | 0.07 | 0.001 | [[278, 288, 328, 368, 468], [202, 212, 252, 292, 392], [156, 166, 206, 246, 346]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.8 | 0.07 | 0.003 | [[443, 448, 468, 488, 538], [336, 341, 361, 381, 431], [253, 253, 253, 253, 253]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.8 | 0.07 | 0.005 | [[545, 545, 545, 545, 545], [421, 421, 421, 421, 421], [332, 332, 332, 332, 332]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.8 | 0.07 | 0.01 | [[763, 763, 763, 763, 763], [624, 624, 624, 624, 624], [514, 514, 514, 514, 514]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.8 | 0.05 | 0.001 | [[278, 288, 328, 368, 468], [202, 212, 252, 292, 392], [156, 166, 206, 246, 346]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.8 | 0.05 | 0.003 | [[443, 448, 468, 488, 538], [336, 341, 361, 381, 431], [253, 253, 253, 253, 253]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.8 | 0.05 | 0.005 | [[545, 545, 545, 545, 545], [421, 421, 421, 421, 421], [332, 332, 332, 332, 332]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.8 | 0.05 | 0.01 | [[763, 763, 763, 763, 763], [624, 624, 624, 624, 624], [514, 514, 514, 514, 514]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.9 | 0.2 | 0.001 | [[258, 268, 308, 348, 448], [189, 199, 239, 279, 379], [146, 156, 196, 236, 336]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.9 | 0.2 | 0.003 | [[434, 439, 459, 479, 529], [330, 335, 355, 375, 425], [250, 250, 250, 250, 250]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.9 | 0.2 | 0.005 | [[541, 541, 541, 541, 541], [420, 420, 420, 420, 420], [331, 331, 331, 331, 331]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.9 | 0.2 | 0.01 | [[763, 763, 763, 763, 763], [624, 624, 624, 624, 624], [514, 514, 514, 514, 514]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.9 | 0.15 | 0.001 | [[258, 268, 308, 348, 448], [189, 199, 239, 279, 379], [146, 156, 196, 236, 336]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.9 | 0.15 | 0.003 | [[434, 439, 459, 479, 529], [330, 335, 355, 375, 425], [250, 250, 250, 250, 250]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.9 | 0.15 | 0.005 | [[541, 541, 541, 541, 541], [420, 420, 420, 420, 420], [331, 331, 331, 331, 331]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.9 | 0.15 | 0.01 | [[763, 763, 763, 763, 763], [624, 624, 624, 624, 624], [514, 514, 514, 514, 514]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.9 | 0.1 | 0.001 | [[258, 268, 308, 348, 448], [189, 199, 239, 279, 379], [146, 156, 196, 236, 336]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.9 | 0.1 | 0.003 | [[434, 439, 459, 479, 529], [330, 335, 355, 375, 425], [250, 250, 250, 250, 250]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.9 | 0.1 | 0.005 | [[541, 541, 541, 541, 541], [420, 420, 420, 420, 420], [331, 331, 331, 331, 331]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.9 | 0.1 | 0.01 | [[763, 763, 763, 763, 763], [624, 624, 624, 624, 624], [514, 514, 514, 514, 514]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.9 | 0.07 | 0.001 | [[258, 268, 308, 348, 448], [189, 199, 239, 279, 379], [146, 156, 196, 236, 336]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.9 | 0.07 | 0.003 | [[434, 439, 459, 479, 529], [330, 335, 355, 375, 425], [250, 250, 250, 250, 250]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.9 | 0.07 | 0.005 | [[541, 541, 541, 541, 541], [420, 420, 420, 420, 420], [331, 331, 331, 331, 331]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.9 | 0.07 | 0.01 | [[763, 763, 763, 763, 763], [624, 624, 624, 624, 624], [514, 514, 514, 514, 514]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.9 | 0.05 | 0.001 | [[258, 268, 308, 348, 448], [189, 199, 239, 279, 379], [146, 156, 196, 236, 336]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.9 | 0.05 | 0.003 | [[434, 439, 459, 479, 529], [330, 335, 355, 375, 425], [250, 250, 250, 250, 250]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.9 | 0.05 | 0.005 | [[541, 541, 541, 541, 541], [420, 420, 420, 420, 420], [331, 331, 331, 331, 331]] | 
f0002 | 10 | lof | 30days | 15 | False | 0.9 | 0.05 | 0.01 | [[763, 763, 763, 763, 763], [624, 624, 624, 624, 624], [514, 514, 514, 514, 514]] | 
